CSE,owner,35,california
F_user_1,user,29,WI
I_user_2,user,56,NE
K_user_3,user,99,FL
R_user_4,user,59,NE
K_user_5,user,28,IO
N_user_6,user,15,IL
F_user_7,user,55,NE
J_user_8,user,90,IN
S_user_9,user,63,OH
X_user_10,user,72,IL
M_user_11,user,84,NE
X_user_12,user,23,FL
V_user_13,user,39,MO
Y_user_14,user,16,VE
T_user_15,user,76,MA
C_user_16,user,18,NE
N_user_17,user,37,MA
E_user_18,user,83,NE
V_user_19,user,25,NE
A_user_20,user,63,NO
G_user_21,user,34,MI
N_user_22,user,47,UT
J_user_23,user,99,WI
U_user_24,user,82,SO
B_user_25,user,83,AR
W_user_26,user,39,CO
U_user_27,user,29,VE
M_user_28,user,98,AR
H_user_29,user,36,DE
X_user_30,user,30,NE
G_user_31,user,50,UT
N_user_32,user,13,UT
Q_user_33,user,62,IL
L_user_34,user,44,IL
C_user_35,user,92,NE
K_user_36,user,33,CA
F_user_37,user,68,SO
H_user_38,user,97,WA
D_user_39,user,52,OH
B_user_40,user,90,ID
D_user_41,user,55,GE
O_user_42,user,69,NO
N_user_43,user,61,LO
Q_user_44,user,85,MA
I_user_45,user,35,DE
E_user_46,user,33,GE
N_user_47,user,74,NE
U_user_48,user,96,WY
V_user_49,user,97,AL
C_user_50,user,13,RH
U_user_51,user,80,OK
Z_user_52,user,44,NO
J_user_53,user,68,DE
G_user_54,user,21,VI
L_user_55,user,38,KE
X_user_56,user,96,MO
I_user_57,user,55,DE
N_user_58,user,97,IL
G_user_59,user,72,IN
L_user_60,user,35,AR
V_user_61,user,99,IN
J_user_62,user,89,OR
E_user_63,user,59,MA
V_user_64,user,45,CO
N_user_65,user,16,NE
M_user_66,user,59,WE
G_user_67,user,75,WA
K_user_68,user,51,NE
Z_user_69,user,58,MI
S_user_70,user,98,NO
Y_user_71,user,96,WI
V_user_72,user,94,AL
T_user_73,user,67,OR
G_user_74,user,52,GE
Z_user_75,user,70,OR
U_user_76,user,78,MA
A_user_77,user,72,NE
H_user_78,user,79,NO
B_user_79,user,59,MA
S_user_80,user,65,NO
H_user_81,user,52,IL
X_user_82,user,15,OH
Z_user_83,user,91,WI
K_user_84,user,58,SO
F_user_85,user,17,TE
Z_user_86,user,16,RH
N_user_87,user,22,CO
G_user_88,user,15,WE
Y_user_89,user,21,TE
C_user_90,user,60,MA
S_user_91,user,19,VI
G_user_92,user,76,MI
B_user_93,user,89,WE
Y_user_94,user,32,NE
E_user_95,user,38,MI
Z_user_96,user,53,MA
V_user_97,user,54,SO
V_user_98,user,41,WE
R_user_99,user,84,TE
F_user_100,user,28,SO
L_user_101,user,17,MA
V_user_102,user,93,AL
V_user_103,user,39,AL
T_user_104,user,24,NE
J_user_105,user,86,LO
R_user_106,user,89,MA
N_user_107,user,29,NE
L_user_108,user,46,NO
T_user_109,user,82,AL
K_user_110,user,94,VE
B_user_111,user,74,WI
X_user_112,user,47,OK
S_user_113,user,56,MO
V_user_114,user,15,VI
X_user_115,user,61,IL
F_user_116,user,70,RH
A_user_117,user,77,OH
L_user_118,user,75,AR
P_user_119,user,80,IL
L_user_120,user,84,NE
E_user_121,user,80,IN
Q_user_122,user,58,MA
X_user_123,user,49,GE
J_user_124,user,65,VI
Z_user_125,user,66,AL
J_user_126,user,95,PE
V_user_127,user,45,WA
Z_user_128,user,57,CA
R_user_129,user,12,ID
A_user_130,user,57,NE
Z_user_131,user,99,TE
Z_user_132,user,97,TE
B_user_133,user,54,LO
T_user_134,user,71,KE
H_user_135,user,22,SO
K_user_136,user,38,VI
T_user_137,user,12,KA
K_user_138,user,39,UT
Y_user_139,user,92,GE
A_user_140,user,72,AL
L_user_141,user,84,NO
Y_user_142,user,43,PE
X_user_143,user,12,AR
I_user_144,user,96,OK
D_user_145,user,99,UT
I_user_146,user,48,MO
L_user_147,user,68,OK
A_user_148,user,99,NO
C_user_149,user,46,VI
T_user_150,user,18,CO
Z_user_151,user,39,NE
W_user_152,user,41,CO
Y_user_153,user,21,SO
Z_user_154,user,64,AR
S_user_155,user,29,NE
O_user_156,user,55,DE
P_user_157,user,25,RH
Y_user_158,user,49,NO
J_user_159,user,53,CO
S_user_160,user,14,MA
C_user_161,user,63,NE
L_user_162,user,73,WI
Z_user_163,user,45,VE
T_user_164,user,78,CO
S_user_165,user,69,MI
R_user_166,user,59,WY
A_user_167,user,73,GE
Q_user_168,user,26,AR
F_user_169,user,98,MO
Z_user_170,user,12,WE
W_user_171,user,25,RH
F_user_172,user,98,MI
O_user_173,user,99,MO
U_user_174,user,97,IL
X_user_175,user,76,FL
E_user_176,user,63,NE
K_user_177,user,40,MA
M_user_178,user,13,OR
J_user_179,user,91,MA
M_user_180,user,78,MI
H_user_181,user,38,MI
Z_user_182,user,66,AL
U_user_183,user,96,VE
N_user_184,user,92,NE
K_user_185,user,86,NO
B_user_186,user,26,AL
I_user_187,user,85,NE
V_user_188,user,18,FL
Z_user_189,user,60,OR
C_user_190,user,42,MI
Q_user_191,user,97,WY
K_user_192,user,38,SO
K_user_193,user,90,MA
P_user_194,user,67,HA
S_user_195,user,92,NE
D_user_196,user,71,MI
O_user_197,user,34,RH
W_user_198,user,54,MO
C_user_199,user,43,FL
E_user_200,user,58,MA
M_user_201,user,19,CO
G_user_202,user,83,MA
B_user_203,user,86,IO
C_user_204,user,85,VE
Y_user_205,user,91,AL
H_user_206,user,44,TE
E_user_207,user,23,IL
O_user_208,user,80,WA
W_user_209,user,60,PE
G_user_210,user,68,KA
Z_user_211,user,61,NE
J_user_212,user,99,SO
R_user_213,user,27,TE
V_user_214,user,70,MI
J_user_215,user,79,WE
R_user_216,user,32,MI
H_user_217,user,57,CO
G_user_218,user,68,CA
T_user_219,user,43,CO
M_user_220,user,94,AR
R_user_221,user,29,HA
G_user_222,user,23,LO
M_user_223,user,37,NE
T_user_224,user,87,NE
X_user_225,user,49,SO
X_user_226,user,93,KE
M_user_227,user,45,CA
H_user_228,user,23,RH
X_user_229,user,73,NO
O_user_230,user,99,NO
D_user_231,user,97,PE
D_user_232,user,73,WE
V_user_233,user,19,UT
T_user_234,user,39,MA
L_user_235,user,65,SO
T_user_236,user,56,IO
N_user_237,user,16,MA
J_user_238,user,25,UT
N_user_239,user,25,NE
W_user_240,user,23,IO
B_user_241,user,34,NO
F_user_242,user,23,AL
G_user_243,user,24,MA
V_user_244,user,69,AR
E_user_245,user,86,NO
T_user_246,user,35,WI
E_user_247,user,23,CO
S_user_248,user,33,ID
W_user_249,user,66,CO
E_user_250,user,58,SO
J_user_251,user,45,KE
J_user_252,user,62,MA
H_user_253,user,80,IL
W_user_254,user,83,IN
N_user_255,user,30,IL
N_user_256,user,51,AL
O_user_257,user,40,NE
Y_user_258,user,73,MI
V_user_259,user,68,NE
F_user_260,user,90,NE
H_user_261,user,21,SO
K_user_262,user,78,AL
C_user_263,user,54,IL
G_user_264,user,51,OH
N_user_265,user,70,MA
B_user_266,user,77,ID
I_user_267,user,77,NO
